CNT,CNTRYID
Albania,0
Argentina,1
Australia,2
Austria,3
Baku (Azerbaijan),4
Belgium,5
Brazil,6
Brunei Darussalam,7
Bulgaria,8
Cambodia,9
Canada,10
Chile,11
Chinese Taipei,12
Colombia,13
Costa Rica,14
Croatia,15
Czech Republic,16
Denmark,17
Dominican Republic,18
El Salvador,19
Estonia,20
Finland,21
France,22
Georgia,23
Germany,24
Greece,25
Guatemala,26
Hong Kong (China),27
Hungary,28
Iceland,29
Indonesia,30
Ireland,31
Israel,32
Italy,33
Jamaica,34
Japan,35
Jordan,36
Kazakhstan,37
Korea,38
Kosovo,39
Latvia,40
Lithuania,41
Macao (China),42
Malaysia,43
Malta,44
Mexico,45
Mongolia,46
Montenegro,47
Morocco,48
Netherlands,49
New Zealand,50
North Macedonia,51
Norway,52
Palestinian Authority,53
Panama,54
Paraguay,55
Peru,56
Philippines,57
Poland,58
Portugal,59
Qatar,60
Republic of Moldova,61
Romania,62
Saudi Arabia,63
Serbia,64
Singapore,65
Slovak Republic,66
Slovenia,67
Spain,68
Sweden,69
Switzerland,70
Thailand,71
TÃ¼rkiye,72
Ukrainian regions (18 of 27),73
United Arab Emirates,74
United Kingdom,75
United States,76
Uruguay,77
Uzbekistan,78
Viet Nam,79
